,Unnamed: 0,nelx,nely,did converge,Youngs modulus,circle 1 x,circle 1 y,circle 1 radius,force 1 x,force 1 y,circle 2 x,circle 2 y,circle 2 radius,force 1 x.1,force 2 y,circle 3 x,circle 3 y,circle 3 radius,force 3 x,force 3 y,True Mass,True Compliance,True Stress,Predicted Mass,Predicted Stress,Predicted Compliance
51,42,100,50,True,136620571636.86192,0.75,0.72,0.1636016587738578,-11756.320961856534,-3645.148086391594,1.18,0.24,0.1272146038890469,8374.942666169834,-3728.0057791706254,1.47,0.36,0.1238630733345565,3381.3782956867003,7373.153865562221,463.76095096480935,-0.0316305142153355,1718056.8256233383,495.35345,-0.338294999961544,5514505.017004072
52,43,100,50,False,122379989850.43011,0.3,0.7,0.1933148916507749,11895.855352980769,7444.136036395061,1.25,0.38,0.1283084177774008,5774.825320065546,-12209.506779151438,1.78,0.22,0.1147146880873546,-17670.680673046314,4765.370742756377,646.2934110893702,0.7761631671301501,3301770.175962889,517.06116,11.19812824687948,121698482.80017333
53,44,100,50,False,225125119293.53595,0.32,0.3,0.1629917218558414,109.08925077554552,8350.0287858162,1.34,0.7,0.1923267283809463,-9454.508342427313,9379.780816213724,1.73,0.27,0.1613680024154202,9345.419091651764,-17729.80960202992,926.945087090331,-0.0433741834026949,1967531.175295001,748.0359,1.5345808397129397,23060575.547477078
54,45,100,50,True,138751574943.91428,0.45,0.45,0.1562150098518292,-5431.95244565641,-297.36970497431093,1.49,0.3,0.1874892114059818,-1023.912059837144,-6931.09888782528,0.9,0.3,0.1897211690941292,6455.864505493554,7228.468592799591,661.021435706793,-0.0081215002182756,1395692.1642133603,536.3978,-1.7806096479329327,23181382.144736946
55,46,100,50,True,268287963784.69897,1.33,0.79,0.1008662138368858,-8583.132851135691,-2726.5692302464204,0.67,0.25,0.1390160339915793,6514.131897884829,1619.7189875762472,1.71,0.43,0.1757542074633519,2069.000953250862,1106.850242670173,572.6614987037219,-5.824347390780136,32393858.67819952,651.2001,-0.6360800987246518,6439198.068953536
56,47,100,50,True,342380711310.25903,0.77,0.31,0.1951004305251435,-4654.879253950651,-12633.071875145866,1.54,0.71,0.1780819494355347,-17745.804586955564,378.7024164971895,0.32,0.22,0.1117527433812868,22400.68384090621,12254.369458648676,583.0802384379526,0.8358299745929584,5847104.282265148,606.5481,1.874656704161704,66617423.13570061
57,48,100,50,True,428755639671.7613,1.75,0.44,0.1433575333347038,-4620.074891046283,9091.688688702312,0.78,0.34,0.1215559163002358,10847.514775127933,3888.517967302675,0.26,0.26,0.1451343993008216,-6227.43988408165,-12980.206656004988,520.9857289311069,0.7107960454701515,8420617.196169427,619.0802,-2.769321892711274,19752011.83278615
58,49,100,50,True,331995259709.7106,0.81,0.7,0.1901227783148849,2957.651281398433,6451.2229958510425,0.3,0.7,0.187418050333721,-224.38656220337336,-12363.93740119309,0.26,0.26,0.1519334958343375,-2733.264719195061,5912.714405342047,706.3117737684851,-0.0088818221471743,269453.2471556003,615.577,-0.936478435299697,4162956.003460156
59,50,100,50,True,374351877463.8784,1.56,0.37,0.1586413117729824,578.8108650464413,-13356.824135525669,0.97,0.41,0.0935800322042712,-4668.614687961236,-6915.554237042117,1.63,0.74,0.1426094143672212,4089.803822914796,20272.378372567782,1420.322217573811,0.0803271239426346,4067058.657201018,405.73932,0.0512589384314863,18700698.91518343
60,51,100,50,True,51148192987.43247,1.73,0.46,0.1349620410625913,6502.558494651012,13223.858773549327,1.22,0.71,0.1798931076113316,3007.5776990499044,2322.373633820796,0.58,0.74,0.1540786673822952,-9510.13619370092,-15546.232407370124,1159.2229056949843,20.837920564980127,62132245.13218142,635.8785,5.9843847854038135,48699185.529864095
61,52,100,50,True,156824160600.19476,0.46,0.55,0.1114776002582226,96.01013824624646,7178.137272519938,0.9,0.46,0.1219339777729719,12562.22834651269,-3161.423090595204,1.36,0.29,0.1527650055562847,-12658.238484758936,-4016.714181924736,736.7634956652132,-0.4977850741727851,314095.862389356,480.29926,-0.3750890549219849,3292980.654835795
62,53,100,50,True,496776904131.45074,1.12,0.31,0.1912426074191395,-5983.396689848436,-4383.973027077045,0.34,0.48,0.1482241652602139,-4020.983360186403,3145.9109498278126,0.85,0.7,0.188230711801066,10004.38005003484,1238.0620772492323,664.1872138598703,-0.0032346155757817,154379.03127013936,542.60266,-0.2654802633275348,11717750.712591115
63,54,100,50,True,228845105697.90396,1.79,0.36,0.1032075645459432,-2110.993351794751,-4419.745679946504,0.64,0.31,0.1966785494936066,9395.137108823134,6217.622490249607,1.32,0.7,0.1917992496362705,-7284.143757028382,-1797.8768103031025,1191.2395419417776,1.8470580157399692,32790922.27721867,680.18365,-3.0596079154853,8840726.672243578
64,55,100,50,True,294852917585.0957,0.55,0.56,0.1572687878486094,-1678.6059006831035,6306.947350196717,1.26,0.25,0.1421643656379372,12328.005822289884,1037.6195673321747,1.7,0.7,0.1930986404710538,-10649.39992160678,-7344.566917528894,884.2753483510146,0.2062121897370349,3772555.297888993,605.33295,-2.8900489153112905,37703131.3686824
65,56,100,50,True,445887920978.5494,0.83,0.24,0.1274628870195873,-5044.452730884859,-1556.6276163631348,1.09,0.54,0.1818031809501301,7857.535945117516,-1348.853314545429,1.78,0.52,0.1092506991792583,-2813.083214232657,2905.480930908564,771.2476320005485,0.0441475815443595,182199.59216820804,525.03284,-0.0062153325407636,2515677.937652869
66,57,100,50,True,100116816632.6958,0.84,0.7,0.1897457815280659,-3610.1971339392194,-6488.396537841846,1.3,0.23,0.1208827318216441,-9798.602492890235,-837.1537472692419,0.31,0.68,0.1729610189971289,13408.799626829456,7325.550285111089,481.6870007029439,0.1801554179570603,2337902.10367913,449.51874,-0.0909943094889322,43184884.45057142
67,58,100,50,True,126691022616.32332,1.19,0.7,0.1877653962986691,7360.936272506719,690.524296226247,0.24,0.33,0.1339256186190509,8977.287444791906,1708.6093703472616,1.74,0.33,0.1511612919727322,-16338.223717298624,-2399.133666573506,1210.8071440118597,0.0298394675273506,272437.4346760494,861.0591,0.4530311485590138,6028795.954420883
